ID,Name,Concepticon_ID,Concepticon_Gloss,TBL_ID,Coverage
108_toknowsomething,to know (something),1410,KNOW (SOMETHING),1798,0.55
109_thelake,the lake,624,LAKE,31,0.57
110_late,late,477,LATE,1019,0.94
111_tolaugh,to laugh,1355,LAUGH,1735,1.0
112_theleaf,the leaf,628,LEAF,376,1.0
113_tolearn,to learn,504,LEARN,1742,0.49
114_left,left,244,LEFT,710,0.96
115_tolick,to lick,319,LICK,1674,1.0
116_toliedown,to lie down,215,LIE DOWN,1661,0.48
117_lightofweight,light (of weight),1052,LIGHT (WEIGHT),1015,0.98
118_thelipthelips,the lip (the lips),478,LIP,85,0.98
119_theliver,the liver,1224,LIVER,145,1.0
120_long,long,1203,LONG,972,1.0
121_thelouse,the louse,1392,LOUSE,356,1.0
122_thelung,the lung,688,LUNG,143,0.98
123_themanmalehuman,the man (male human),2106,MALE PERSON,173,0.96
124_many,many,1198,MANY,987,0.96
125_tomarryamanmarriesawoman,to marry (a man marries a woman),2164,MARRY (AS MAN),1578,0.42
126_themeat,the meat,634,MEAT,443,1.0
127_middle,middle,1093,MIDDLE,708,0.92
128_themoon,the moon,1313,MOON,4,0.98
129_morning,morning,1339,MORNING,749,0.96
130_themosquito,the mosquito,1509,MOSQUITO,360,0.58
131_themother,the mother,1216,MOTHER,219,0.64
132_themountain,the mountain,639,MOUNTAIN,23,1.0
133_themouseorrat,the mouse or rat,2139,MUROID (MOUSE OR RAT),320,1.0
134_themouth,the mouth,674,MOUTH,84,0.98
135_themud,the mud,640,MUD,46,0.92
136_thenailfingernailorclaw,the nail (fingernail or claw),2128,CLAW OR NAIL,113,1.0
137_thename,the name,1405,NAME,687,1.0
138_narrow,narrow,1267,NARROW,977,0.9
139_near,near,1942,NEAR,975,0.98
140_theneck,the neck,1333,NECK,89,1.0
141_theneedleforsewing,the needle (for sewing),1382,NEEDLE (FOR SEWING),578,0.96
142_new,new,1231,NEW,1050,0.98
143_nine,nine,1483,NINE,805,0.88
144_thenit,the nit,267,NIT,357,0.33
145_noon,noon,12,MIDDAY,750,0.49
146_thenose,the nose,1221,NOSE,80,1.0
147_oldofperson,old (of person),2112,OLD (AGED),1058,0.96
148_one,one,1493,ONE,797,0.98
149_theotter,the otter,15,OTTER,317,0.35
150_outside,outside,762,OUTSIDE,714,0.96
151_thepig,the pig,1337,PIG,284,0.98
152_toplantvegetalsrice,"to plant (vegetals, rice)",1486,PLANT (SOMETHING),1774,0.43
153_toplay,to play,1413,PLAY,1703,0.98
154_topull,to pull,1455,PULL,1568,0.59
155_topush,to push,1452,PUSH,1689,0.96
156_therain,the rain,658,RAIN (PRECIPITATION),10,0.98
157_therainbow,the rainbow,1733,RAINBOW,11,0.49
158_red,red,156,RED,1007,0.96
159_toresidelive,to reside (live),363,"DWELL (LIVE, RESIDE)",1452,0.94
160_thericeplant,the rice plant,2026,RICE PLANT,439,0.39
161_right,right,1019,RIGHT,711,1.0
162_theriver,the river,666,RIVER,30,0.55
163_theroad,the road,667,ROAD,38,0.98
164_theroot,the root,670,ROOT,375,1.0
165_therope,the rope,1218,ROPE,619,0.96
166_round,round,1395,ROUND,990,0.94
167_torun,to run,1519,RUN,1544,0.49
168_thesalt,the salt,1274,SALT,61,0.98
169_salty,salty,1091,SALTY,1076,0.49
170_thesand,the sand,671,SAND,44,0.94
171_toscratch,to scratch,1436,SCRATCH,1530,0.98
172_thesea,the sea,1474,SEA,32,0.46
173_tosee,to see,1409,SEE,1471,0.98
174_theseed,the seed,714,SEED,405,0.96
175_seven,seven,1704,SEVEN,803,0.88
176_sharp,sharp,1396,SHARP,1020,0.96
177_thesheep,the sheep,1331,SHEEP,275,0.49
178_toshootanarrow,to shoot (an arrow),1172,SHOOT,1611,0.98
179_short,short,1645,SHORT,973,0.92
180_theshoulder,the shoulder,1482,SHOULDER,90,0.98
181_shy,shy,487,SHY,1365,0.43
182_thesickle,the sickle,341,SICKLE,624,0.46
183_tosing,to sing,1261,SING,1184,0.94
184_six,six,1703,SIX,802,0.88
185_theskin,the skin,763,SKIN,120,0.98
186_thesky,the sky,1732,SKY,1,0.96
187_tosleep,to sleep,1585,SLEEP,1646,0.96
188_small,small,1246,SMALL,965,1.0
189_tosmellperceiveodortransitive,to smell (perceive odor) [transitive],1586,SMELL (PERCEIVE),1707,0.92
190_thesmoke,the smoke,778,SMOKE (EXHAUST),19,1.0
191_smooth,smooth,1234,SMOOTH,1037,0.56
192_thesnake,the snake,730,SNAKE,347,1.0
193_thesnow,the snow,784,SNOW,12,0.9
194_soft,soft,1856,SOFT,1035,1.0
195_theson,the son,1620,SON,220,1.0
196_thesparrow,the sparrow,1854,SPARROW,336,0.42
197_thespider,the spider,843,SPIDER,361,0.96
198_tospit,to spit,1440,SPIT,1688,0.98
199_tostand,to stand,1442,STAND,1784,1.0
200_thestar,the star,1430,STAR,5,1.0
201_tosteal,to steal,713,STEAL,1686,0.96
202_thestick,the stick,1295,STICK,586,0.94
203_thestoneapieceof,the stone (a piece of),857,STONE,43,1.0
204_straight,straight,1404,STRAIGHT,1003,0.94
205_thesun,the sun,1343,SUN,2,1.0
206_thetail,the tail,1220,TAIL,267,1.0
207_ten,ten,1515,TEN,806,0.9
208_that,that,78,THAT,947,0.52
209_there,there,1937,THERE,950,0.52
210_thick,thick,1244,THICK,980,0.94
211_thethigh,the thigh,471,UPPER LEG (THIGH),100,0.9
212_thinobject,thin (object),2249,THIN (OF SHAPE OF OBJECT),981,0.94
213_tothinkreflect,to think (reflect),1415,THINK (REFLECT),1726,0.98
214_this,this,1214,THIS,942,0.53
215_thousecondpersonsingular,thou [second person singular],1215,THOU,931,0.94
216_three,three,492,THREE,799,0.98
217_tothrow,to throw,1456,THROW,1687,0.98
218_thethunder,the thunder,1150,THUNDER,8,0.98
219_thetiger,the tiger,846,TIGER,304,0.54
220_today,today,1283,TODAY,738,0.53
221_tomorrow,tomorrow,1329,TOMORROW,742,0.54
222_thetongue,the tongue,1205,TONGUE,139,1.0
223_thetoothfront,the tooth (front),1380,TOOTH,137,1.0
224_thetree,the tree,906,TREE,372,0.96
225_twenty,twenty,1710,TWENTY,816,0.38
226_two,two,1498,TWO,798,0.98
227_tovomit,to vomit,1278,VOMIT,1535,0.98
228_towalk,to walk,1443,WALK,1815,1.0
229_thewater,the water,948,WATER,47,1.0
230_wefirstpersonpluralinclusive,we [first person plural inclusive],1131,WE (INCLUSIVE),930,0.53
231_wet,wet,1726,WET,1029,1.0
232_what,what,1236,WHAT,954,0.52
233_thewheat,the wheat,1077,WHEAT,410,0.46
234_where,where,1237,WHERE,955,0.53
235_white,white,1335,WHITE,1006,1.0
236_who,who,1235,WHO,953,1.0
237_thewife,the wife,1199,WIFE,248,0.53
238_thewind,the wind,960,WIND,9,1.0
239_thewing,the wing,1257,WING,298,0.92
240_towipe,to wipe,1454,WIPE,1163,0.96
241_thewolf,the wolf,522,WOLF,324,0.42
242_thewoman,the woman,962,WOMAN,174,0.98
243_thewoodmaterial,the wood (material),1803,WOOD,511,0.5
244_tosowbroadcastscatterseeds,"to sow (broadcast, scatter seeds)",748,SOW SEEDS,1597,0.32
245_theyear,the year,1226,YEAR,777,0.98
246_yellow,yellow,1424,YELLOW,1008,0.96
247_yesterday,yesterday,1174,YESTERDAY,739,0.54
248_yousecondpersonplural,you [second person plural],1213,YOU,933,0.52
249_young,young,1207,YOUNG,1059,0.46
250_theshit,the shit,676,SHIT (DEFECATE),151,0.92
