ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	ALIGNMENT	NOTE	BORROWING	CHINESE	COGID	COGIDS	HANZI	MORPHEME_STRUCTURE
2327	Japhug		the dust	rdɯl	r d ɯ l	( - - - - - - - - - - - - - - ) - r d - ɯ l - ( - - - - )		tib[rdul]	尘土	507			
2351	Old_Tibetan	ear	the ear	rna	r n a	( - - - - - - - - - - - - - - - - - - - - ) r n a - - - - - - - ( - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - )			耳朵	32		耳	
2364	Khaling	ear	the ear	ŋeʦo	ŋ e ʦ o	( - - - - - - - - - - - - - - - - - - - - ) - ŋ e - - - - - - - ( - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - ʦ o - - - - - - - - - - - - - )			耳朵	32		耳	
2365	Limbu	ear	the ear	nɛbhak	n ɛ bʰ a k	( - - - - - - - - - - - - - - - - - - - - ) - n ɛ - - - - - - - ( - - - - - - - - - - - - - - - - - - - - - - bʰ a k - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - )			耳朵	32		耳	
2380	Japhug	ear	the ear	tɯ-rna	t ɯ ◦ r n a	( - - - - - - - - - t ɯ ◦ - - - - - - - - ) r n a - - - - - - - ( - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - )			耳朵	32		耳	
2384	Tangut	ear	the ear	nju¹	n j u ¹				耳朵	32		耳	
2404	Old_Tibetan	earth	the earth (soil)	sa	s a	- s a - -			土地	373		土	
2417	Khaling	earth	the earth (soil)	pɵk	p ɵ k	p ɵ - k -			土地	768		土	
2418	Limbu	earth	the earth (soil)	kham	kʰ a m	- - - kʰ a m ( - - - - - - )			土地	769		土	
2433	Japhug	earth	the earth (soil)	tʰɤlwa	tʰ ɤ l w a	tʰ ɤ l w a		tib[thal.ba]	土地	1243		土	
2437	Tangut	earth	the earth (soil)	dzjiw¹	d z j i w ¹				土地	10195		土	
2457	Old_Tibetan	eat	to eat	za, zos	z a	) z a			吃	3419		食	
2470	Khaling	eat	to eat	ʣɵ-	ʣ ɵ ◦	) ʣ ɵ ◦			吃	3419		食	
2471	Limbu	eat	to eat	ca-	c a ◦	) c a ◦			吃	3419		食	
2486	Japhug	eat	to eat	ndza	ⁿdz a	) ⁿdz a			吃	3419		食	
2490	Tangut	eat	to eat	dzji¹	d z j i ¹				吃	3419		食	
2510	Old_Tibetan	egg	the egg	sgo.ŋa	s g o  ŋ a	s g o  ŋ a			鸡蛋	850		卵	
2523	Khaling	egg	the egg	ti	t i	( - - - - - - - - - - - - - - - - - - - - - - - ) t i - - - ( - )			鸡蛋	3399		卵	
2524	Limbu	egg	the egg	thi:mma	tʰ iː m m a	( - - - - - - - - - - - - - - - - - - - - - - - ) tʰ iː m m - ( - ) a			鸡蛋	3399		卵	
2539	Japhug	egg	the egg	tɤ-ŋgɯm	t ɤ ◦ ŋg ɯ m	t ɤ ◦ ŋg ɯ m			鸡蛋	852		卵	
2543	Tangut	egg	the egg	tew¹	t e w ¹				鸡蛋	10196		卵	
2563	Old_Tibetan		eight	brgʲad	b r gʲ a d	( - - - - - - - ) b - - r gʲ - a - - d ( - - ) - -				183			
2592	Japhug		eight	kɯrcat	k ɯ r c a t	( - - - - - k ɯ ) - - - r c - a - - t ( - - ) - -				183			
2616	Old_Tibetan	eye	the eye	dmʲig	d mʲ i g	( - - - - - ) d - - mʲ - i g - - - ( - - - - - - - - - - - - - )			眼睛	4		目	
2629	Khaling	eye	the eye	mʌs	m ʌ s	( - - - - - ) - - - m - ʌ s - - - ( - - - - - - - - - - - - - )			眼睛	4		目	
2630	Limbu	eye	the eye	mik	m i k	( - - - - - ) - - - m - i k - - - ( - - - - - - - - - - - - - )			眼睛	4		目	
2645	Japhug	eye	the eye	tɯ-mɲaʁ	t ɯ ◦ m ɲ a ʁ	( - - - - - ) t ɯ ◦ m ɲ a ʁ - - - ( - - - - - - - - - - - - - )			眼睛	4		目	
2649	Tangut	eye	the eye	mej¹	m e j ¹				眼睛	4		目	
2722	Old_Tibetan		far	tʰag.riŋ.po	tʰ a g + r i ŋ + p o	tʰ a g + ( r i ŋ + ) - p o - - ( - - - )			元	549			
2751	Japhug		far	arqʰi	a r qʰ i	a r qʰ i			元	973			
2934	Old_Tibetan	feather	the feather	spu	s p u	- - - - - - - - - - - - s p u -			羽毛	921		羽	
2947	Khaling	feather	the feather	phʌsʌlʌm	pʰ ʌ s ʌ l ʌ m	pʰ ʌ s ʌ l ʌ m - -			羽毛	659		羽	
2948	Limbu	feather	the feather	murik	m u r i k	m u r i k			羽毛	772		羽	
2963	Japhug	feather	the feather	tɤ-muj	t ɤ ◦ m u j	( t ɤ ◦ ) m u j			羽毛	1374		羽	
3093	Old_Tibetan		to fight	ɴgʲed	ɴ g ʲ e d	ɴ g ʲ e d			打架	3208			
3122	Japhug		to fight	alɯlɤt	a l ɯ l ɤ t	) a l ɯ l ɤ t			打架	1456			
3146	Old_Tibetan	fire	the fire	me	m e	( - - - - - - - - - - - - - ) - - m - e - ( - ) - - ( - - - )			火	1746		火	
3159	Khaling	fire	the fire	mi	m i	( - - - - - - - - - - - - - ) - - m - i - ( - ) - - ( - - - )			火	1746		火	
3160	Limbu	fire	the fire	mi	m i	( - - - - - - - - - - - - - ) - - m - i - ( - ) - - ( - - - )			火	1746		火	
3175	Japhug	fire	the fire	smi	s m i	( - - - - - - - - - - - - - ) - s m - i - ( - ) - - ( - - - )			火	1746		火	
3179	Tangut	fire	the fire	məə¹	m əə ¹				火	1746		火	
3199	Old_Tibetan	fish	the fish	ɲa	ɲ a	( - - - - - - - - - - - - - - - - - - ) - - ɲ - a - - - - ( - - - - - - - - - - - - - - - - - - - - - )			鱼	186		魚	
3212	Khaling	fish	the fish	ŋɵ	ŋ ɵ	( - - - - - - - - - - - - - - - - - - ) - - ŋ - ɵ - - - - ( - - - - - - - - - - - - - - - - - - - - - )			鱼	186		魚	
3213	Limbu	fish	the fish	ŋ a	ŋ a	( - - - - - - - - - - - - - - - - - - ) - - ŋ - a - - - - ( - - - - - - - - - - - - - - - - - - - - - )			鱼	186		魚	
3228	Japhug	fish	the fish	qaɟy	q a ɟ y	( - - - - q a - - ) ɟ y -			鱼	804		魚	
3232	Tangut	fish	the fish	ʑju²	ʑ j u ²				鱼	804		魚	
3252	Old_Tibetan		five	lŋa	l ŋ a	( - - - - - - - - - - - ) l ŋ - - a - - - ( - - - )			五	10357			
3281	Japhug		five	kɯmŋu	k ɯ m ŋ u	( - - - - - - k ɯ - - - ) m ŋ - - u - - - ( - - - )			五	10357			
3411	Old_Tibetan		the flower	me.tog	m e + t o g	m e - - + t o g - - - - -			花	248			
3440	Japhug		the flower	mɯntoʁ	m ɯ n t o ʁ	m ɯ n - - t o ʁ - - - - -		tib[me.tog]	花	248			
3464	Old_Tibetan	fly	to fly (move through air)	ɴpʰur-	ɴ pʰ u r ◦	) ɴ pʰ u r ◦			飞	430		飛	
3477	Khaling	fly	to fly (move through air)	bher-	bʰ e r ◦	) bʰ e r ◦			飞	10208		飛	
3478	Limbu	fly	to fly (move through air)	pɛ:r-	p ɛ: r ◦	) p ɛ: r ◦			飞	10208		飛	
3493	Japhug	fly	to fly (move through air)	nɯqambɯmbjom	n ɯ q a mb ɯ mb j o m	) n ɯ q a mb ɯ mb j o m			飞	10206		飛	
3497	Tangut	fly	to fly (move through air)	dʑjwow¹	dʑ j w o w ¹				飞	10206		飛	
3570	Old_Tibetan	foot	the foot	rkaŋ	r k a ŋ	r k - a ŋ - ( - - - - - )			脚	866		足	
3583	Khaling	foot	the foot	sɛ̂l	s ɛ̂ l	s ɛ̂ l			脚	1661		足	
3584	Limbu	foot	the foot	laŋ	l a ŋ	l a - ŋ - - - - - -			脚	129		足	
3599	Japhug	foot	the foot	tɯ-mi	t ɯ ◦ m i	( t ɯ ◦ ) m i			脚	701		足	
3603	Tangut	foot	the foot	khjɨ¹	kʰ j ɨ ¹				脚	966		足	
3623	Old_Tibetan		the forest	nags	n a g s	( - - - - - ) n a g s - ( - - - - )			森林	840			
3652	Japhug		the forest	sɯŋgɯ	s ɯ ŋ g ɯ	s ɯ - - ( - - - - - - - - - - ŋ g ɯ - - - - - - - - - )			森林	683			
3676	Old_Tibetan		four	bʑi	b ʑ i	- - - - - b ʑ i - - - - - - ( - - - - - - )			四	263			
3705	Japhug		four	kɯβde	k ɯ β d e	k ɯ - - - β d e - - - - - - ( - - - - - - )			四	263			
3782	Old_Tibetan		the fruit	ɕiŋ.tog	ɕ i ŋ + t o g	ɕ i ŋ - + t o g -			水果	817			
3811	Japhug		the fruit	sɯmat	s ɯ m a t	s ɯ m a t			水果	4085			
3835	Old_Tibetan	full	full	gaŋ	g a ŋ	g a ŋ - - - -			满	1085		滿	
3849	Limbu	full	full	tims-	t i m s ◦	t - i m s - ◦ -			满	1570		滿	
3864	Japhug	full	full	mtsʰɤt	m tsʰ ɤ t	( - - - ) m tsʰ ɤ t			满	1357		滿	
3868	Tangut	full	full	sə¹	s ə ¹				满	1357		滿	
3888	Old_Tibetan	give	to give	sbʲin	s b ʲ i n	) s b ʲ i n			给	1913		畀	
3901	Khaling	give	to give	bi-	b i ◦	) b i ◦			给	1913		畀	
3902	Limbu	give	to give	pi-	p i ◦	) p i ◦			给	1913		畀	
3917	Japhug	give	to give	mbi	m b i	) m b i			给	1913		畀	
3921	Tangut	give	to give	khjow¹	kʰ j o w ¹				给	2125		畀	
3941	Old_Tibetan	good	good	bzaŋ	b z a ŋ	b z a ŋ - ( - - - - )			好	1680		好	
3954	Khaling	good	good	nʉ-	n ʉ ◦	n ʉ ( - - ◦ - - - )			好	619		好	
3955	Limbu	good	good	nu:r-	n u: r ◦	n u: ( - r ◦ - - - )			好	619		好	
3970	Japhug	good	good	pe	p e	- p e			好	179		好	
3974	Tangut	good	good	ŋạ²	ŋ ạ ²				好	1682		好	
3994	Old_Tibetan		the grass	rtsʷ←a	r tsʷ ← w a	( - - - - - - - - - - - - - - - - - - ) r tsʷ ← w a - - -	< *rtsu-ba. https://stan.hypotheses.org/60		草	959			
4023	Japhug		the grass	xɕaj	x ɕ a j	x ɕ a j -			草	1361			
4047	Old_Tibetan	green	green	sŋo-	s ŋ o +	- - - - - s - ŋ o + - - - ( - - - - - )			绿	1098		青	
4060	Khaling	green	green	gigîm	g i g î m	g i g î m - -			绿	620		青	
4061	Limbu	green	green	phiŋ	pʰ i ŋ	pʰ i ŋ			绿	2870		青	
4076	Japhug	green	green	arŋi	a r ŋ i	- - - - a - r ŋ - i - - - ( - - - - - )			绿	1098		青	
4080	Tangut	green	green	ŋwər¹	ŋ w ə r ¹				绿	1098		青	
4153	Old_Tibetan	hair	the hair (of the head)	s k r a	s k r a	s k r a -			头发	210		毛	
4166	Khaling	hair	the hair (of the head)	dhōːsʌm	dʰ ōː s ʌ m	( dʰ ōː - - - - - - - - - - - - - ) s ʌ m ( - - - - - - )			头发	385		毛	
4167	Limbu	hair	the hair (of the head)	murik	m u r i k	- - - - - - - - - - - - - - - - - ( - - - ) - - - - m u - - - r i k ( - - )			头发	2014		毛	
4182	Japhug	hair	the hair (of the head)	tɤ-kɤrme	t ɤ k ɤ r m e	- - - - - - - - - - - - - - - - - ( t ɤ - ) k ɤ - r m e - - - - - - ( - - )			头发	2014		毛	
4186	Tangut	hair	the hair (of the head)	mej²	m e j ²				头发	2014		毛	
4206	Old_Tibetan	hand	the hand	lag.pa	l a g p a	( - - - ) l a g - ( - - p - a - - - - - - )			手	229		手	
4219	Khaling	hand	the hand	khʌ̄r	kʰ ʌ̄ r	kʰ ʌ̄ r -			手	1302		手	
4220	Limbu	hand	the hand	huk	h u k	h u k ( - - - )			手	786		手	
4235	Japhug	hand	the hand	tɯ-jaʁ	t ɯ ◦ j a ʁ	( t ɯ ◦ ) j a ʁ - ( - - - - - - - - - - - )			手	229		手	
4239	Tangut	hand	the hand	lạ¹	l ạ ¹				手	229		手	
4259	Old_Tibetan		he or she [third person singular]	kʰo	kʰ o	kʰ o - ( - - - )			他	788			
4288	Japhug		he or she [third person singular]	ɯʑo	ɯ ʑ o	- ɯ ( - ʑ o )			他	965			
4312	Old_Tibetan	head	the head	mgo	m g o	( - - - - - - - - - - - - - - ) - m g - o - - - - - ( - - - - - - - - - - - - - - - - )			头	1426		首	
4325	Khaling	head	the head	dhōŋ	dʰ ō ŋ	dʰ ō ŋ			头	789		首	
4326	Limbu	head	the head	thɛgek	tʰ ɛ g e k	tʰ ɛ g e k			头	1847		首	
4341	Japhug	head	the head	tɯ-ku	t ɯ ◦ k u	( - - - - - - - - t ɯ ◦ - - - ) - - k - u - - - - - ( - - - - - - - - - - - - - - - - )			头	1426		首	
4345	Tangut	head	the head	ɣu¹	ɣ u ¹				头	1426		首	
4365	Old_Tibetan	hear	to hear	tʰos-	tʰ o s +	) tʰ o s +			听见	3029		聞	
4378	Khaling	hear	to hear	ŋi-	ŋ i ◦	ŋ i ◦			听见	1439		聞	
4379	Limbu	hear	to hear	khɛps-	kʰ ɛ ps ◦	kʰ ɛ ps ◦			听见	3146		聞	
4394	Japhug	hear	to hear	mtsʰɤm	m tsʰ ɤ m	m tsʰ ɤ m			听见	3152		聞	
4398	Tangut	hear	to hear	mji¹	m j i ¹				听见	3752		聞	
4418	Old_Tibetan	heart	the heart	sɲiŋ	s ɲ i ŋ	( - - - ) s ɲ i ( ŋ ) - ( - - - - - - - - - )			心脏	539		心	
4431	Khaling	heart	the heart	ʦɵ̂ː	ʦ ɵ̂ː	ʦ ɵ̂ː ( - - )			心脏	669		心	
4432	Limbu	heart	the heart	luŋma	l u ŋ m a	( - - - - ) - l u ŋ ( m a )			心脏	1525		心	
4447	Japhug	heart	the heart	tɯ-sni	t ɯ ◦ s n i	( t ɯ ◦ ) s n i ( - ) - ( - - - - - - - - - )			心脏	539		心	
4451	Tangut	heart	the heart	njiij¹	n j ii j ¹				心脏	539		心	
4471	Old_Tibetan		heavy	ldʑid-	l dʑ i d	- - - - - - - - - - - - - - l dʑ i - - d - - - - - - - - - - - - - - - - - -			重	10379			
4500	Japhug		heavy	rʑi	r ʑ i	- - - - - - - - - - - - - - r ʑ i - - - - - - - - - - - - - - - - - - - - -			重	10379			
4577	Old_Tibetan		to hide (conceal)	sbed sbas	s b a s	s b a s				1935			
4606	Japhug		to hide (conceal)	sɤnbaʁ	s ɤ n b a ʁ	s ɤ n b a ʁ				1950			
4683	Old_Tibetan		to hold	bzuŋ	b z u ŋ	- b z u ŋ			拿	1986			
4712	Japhug		to hold	ndo	n d o	n d o			拿	1998			
4736	Old_Tibetan	horn	the horn (keratinized skin)	gru	g r u	( - - - - - - - - - ) - - g r - u - - - ( - - - - - - - - - - - - )			角	312		角	
4749	Khaling	horn	the horn (keratinized skin)	ghrʌ̄ŋ	gʰ r ʌ̄ ŋ	( - - - - - - - - - ) - - gʰ r - ʌ̄ - ŋ - ( - - - - - - - - - - - - )			角	29719		角	
4750	Limbu	horn	the horn (keratinized skin)	taŋ	t a ŋ +	t a ŋ +			角	29720		角	
4765	Japhug	horn	the horn (keratinized skin)	ta-ʁrɯ	t a ◦ ʁ r ɯ	( - - - t a ◦ - - - ) - - ʁ r - ɯ - - - ( - - - - - - - - - - - - )			角	312		角	
4769	Tangut	horn	the horn (keratinized skin)	khiwə¹	kʰ i w ə ¹				角	312		角	
4789	Old_Tibetan		the house	kʰʲim	kʰ j i m	( - - - ) kʰ j i m - ( - - - ) -				209			
4818	Japhug		the house	kʰa	kʰ a	- kʰ a - - ( - - - - - )				1523			
4948	Old_Tibetan		to hunt	rŋon	r ŋ o n	) r ŋ o n			打猎	2309			
4977	Japhug		to hunt	ɣɤrʁaʁ	ɣ ɤ r ʁ a ʁ	) ɣ ɤ r ʁ a ʁ			打猎	1455			
5054	Old_Tibetan	I	I [first person singular]	ŋa	ŋ a	ŋ - a - - - - -			我	327		吾	
5067	Khaling	I	I [first person singular]	ʔûŋ	ʔ u ŋ	ʔ u ŋ -			我	29761		吾	
5068	Limbu	I	I [first person singular]	iŋga	i ŋ g a	( i ŋ ) g a - ( - - - - )			我	29722		吾	
5083	Japhug	I	I [first person singular]	aʑo	a ʑ o	- - a - - ʑ o -			我	327		吾	
5087	Tangut	I	I [first person singular]	ŋa²	ŋ a ²				我	327		吾	
5213	Old_Tibetan	kill	to kill	gsodˌ bsad	g s o d ˌ _ b s a d	) g s o d ˌ _ b s a d			杀	3125		殺	
5226	Khaling	kill	to kill	set-	s e t ◦	) s e t ◦			杀	3125		殺	
5227	Limbu	kill	to kill	sɛt-	s ɛ t ◦	) s ɛ t ◦			杀	3125		殺	
5242	Japhug	kill	to kill	sat	s a t	) s a t			杀	3125		殺	
5246	Tangut	kill	to kill	sja¹	s j a ¹				杀	3125		殺	
5266	Old_Tibetan	knee	the knee	spus.mu	s p u s m u	- s p u s m u			膝	22		膝	
5279	Khaling	knee	the knee	tʌ̄mʦu	t ʌ̄ m ʦ u	- t ʌ̄ m ʦ u			膝	672		膝	
5280	Limbu	knee	the knee	thuŋbo	tʰ u ŋ b o	- tʰ u ŋ b o			膝	672		膝	
