NUMBER	ENGLISH	TBL_ID	CONCEPTICON_ID	CONCEPTICON_GLOSS	COVERAGE
70	the front (front side)	0712	2194	FRONT (PART)	0.92
`*`71	the frost	0014	2034	FROST	0.48
72	the fruit	0378	1507	FRUIT	1.00
73	full	0984	1429	FULL	0.92
74	to give	1345	1447	GIVE	0.98
75	the goat	0276	1502	GOAT	0.92
76	good	1052	1035	GOOD	1.00
77	the grass	0436	606	GRASS	0.98
78	green	1009	1425	GREEN	0.96
79	the hail	0013	609	HAIL	0.90
80	the hair (of the head)	0075	1040	HAIR	1.00
81	the hand	0107	1277	HAND	0.98
82	hard	1034	1884	HARD	0.98
83	he or she [third person singular]	0934	262	HE OR SHE OR IT	0.94
84	the head	0074	1256	HEAD	1.00
85	to hear	1682	1408	HEAR	0.98
86	the heart	0144	1223	HEART	1.00
87	heavy	1014	1210	HEAVY	0.96
`*`88	here	0944	136	HERE	0.53
89	to hide (conceal)	1169	602	HIDE (CONCEAL)	0.98
90	high / tall	0968	1265	HIGH	0.98
91	to hold	1709	1448	HOLD	0.96
`*`92	the hoof	0264	152	HOOF	0.48
`*`93	horizontal	1001	2376	HORIZONTAL	0.47
94	the horn (keratinized skin)	0263	1393	HORN (ANATOMY)	0.98
`*`95	the horse	0268	615	HORSE	0.45
96	hot	1062	1286	HOT	1.00
97	the house	0494	1252	HOUSE	0.98
`*`98	hundred	0824	1634	HUNDRED	0.51
99	to hunt	1230	1435	HUNT	0.98
`*`100	the husband	0247	1200	HUSBAND	0.49
101	I [first person singular]	0928	1209	I	0.98
`*`102	the ice	0017	617	ICE	0.52
103	inside	0715	1606	INSIDE	0.98
104	to kill	1602	1417	KILL	1.00
`*`105	to knead	1594	274	KNEAD	0.43
106	the knee	0101	1371	KNEE	0.98
`*`107	knife	0549	1352	KNIFE	0.43
`*`108	to know (something)	1798	1410	KNOW (SOMETHING)	0.55
`*`109	the lake	0031	624	LAKE	0.57
110	late	1019	477	LATE	0.94
111	to laugh	1735	1355	LAUGH	1.00
112	the leaf	0376	628	LEAF	1.00
`*`113	to learn	1742	504	LEARN	0.49
114	left	0710	244	LEFT	0.96
115	to lick	1674	319	LICK	1.00
`*`116	to lie down	1661	215	LIE DOWN	0.48
117	light (of weight)	1015	1052	LIGHT (WEIGHT)	0.98
118	the lip (the lips)	0085	478	LIP	0.98
119	the liver	0145	1224	LIVER	1.00
120	long	0972	1203	LONG	1.00
121	the louse	0356	1392	LOUSE	1.00
122	the lung	0143	688	LUNG	0.98
123	the man (male human)	0173	2106	MALE PERSON	0.96
124	many	0987	1198	MANY	0.96
`*`125	to marry (a man marries a woman)	1578	2164	MARRY (AS MAN)	0.42
126	the meat	0443	634	MEAT	1.00
127	middle	0708	1093	MIDDLE	0.92
128	the moon	0004	1313	MOON	0.98
129	morning	0749	1339	MORNING	0.96
`*`130	the mosquito	0360	1509	MOSQUITO	0.58
`*`131	the mother	0219	1216	MOTHER	0.64
132	the mountain	0023	639	MOUNTAIN	1.00
133	the mouse or rat	0320	2139	MUROID (MOUSE OR RAT)	1.00
134	the mouth	0084	674	MOUTH	0.98
135	the mud	0046	640	MUD	0.92
136	the nail (fingernail or claw)	0113	2128	CLAW OR NAIL	1.00
137	the name	0687	1405	NAME	1.00
138	narrow	0977	1267	NARROW	0.90
139	near	0975	1942	NEAR	0.98
140	the neck	0089	1333	NECK	1.00
141	the needle (for sewing)	0578	1382	NEEDLE (FOR SEWING)	0.96
142	new	1050	1231	NEW	0.98
143	nine	0805	1483	NINE	0.88
`*`144	the nit	0357	267	NIT	0.33
`*`145	noon	0750	12	MIDDAY	0.49
146	the nose	0080	1221	NOSE	1.00
147	old (of person)	1058	2112	OLD (AGED)	0.96
148	one	0797	1493	ONE	0.98
`*`149	the otter	0317	15	OTTER	0.35
150	outside	0714	762	OUTSIDE	0.96
151	the pig	0284	1337	PIG	0.98
`*`152	to plant (vegetals, rice)	1774	1486	PLANT (SOMETHING)	0.43
153	to play	1703	1413	PLAY	0.98
`*`154	to pull	1568	1455	PULL	0.59
155	to push	1689	1452	PUSH	0.96
156	the rain	0010	658	RAIN (PRECIPITATION)	0.98
`*`157	the rainbow	0011	1733	RAINBOW	0.49
158	red	1007	156	RED	0.96
159	to reside (live)	1452	1099	RESIDE	0.94
`*`160	the rice plant	0439	2026	RICE PLANT	0.39
161	right	0711	1019	RIGHT	1.00
`*`162	the river	0030	666	RIVER	0.55
163	the road	0038	667	ROAD	0.98
164	the root	0375	670	ROOT	1.00
165	the rope	0619	1218	ROPE	0.96
166	round	0990	1395	ROUND	0.94
`*`167	to run	1544	1519	RUN	0.49
168	the salt	0061	1274	SALT	0.98
`*`169	salty	1076	1091	SALTY	0.49
170	the sand	0044	671	SAND	0.94
171	to scratch	1530	1436	SCRATCH	0.98
`*`172	the sea	0032	1474	SEA	0.46
173	to see	1471	1409	SEE	0.98
174	the seed	0405	714	SEED	0.96
175	seven	0803	1704	SEVEN	0.88
176	sharp	1020	1396	SHARP	0.96
`*`177	the sheep	0275	1331	SHEEP	0.49
178	to shoot (an arrow)	1611	1172	SHOOT	0.98
179	short	0973	1645	SHORT	0.92
180	the shoulder	0090	1482	SHOULDER	0.98
`*`181	shy	1365	487	SHY	0.43
`*`182	the sickle	0624	341	SICKLE	0.46
183	to sing	1184	1261	SING	0.94
184	six	0802	1703	SIX	0.88
185	the skin	0120	763	SKIN	0.98
186	the sky	0001	1732	SKY	0.96
187	to sleep	1646	1585	SLEEP	0.96
188	small	0965	1246	SMALL	1.00
189	to smell (perceive odor) [transitive]	1707	1586	SMELL (PERCEIVE)	0.92
190	the smoke	0019	778	SMOKE (EXHAUST)	1.00
`*`191	smooth	1037	1234	SMOOTH	0.56
192	the snake	0347	730	SNAKE	1.00
193	the snow	0012	784	SNOW	0.90
194	soft	1035	1856	SOFT	1.00
195	the son	0220	1620	SON	1.00
`*`196	the sparrow	0336	1854	SPARROW	0.42
197	the spider	0361	843	SPIDER	0.96
198	to spit	1688	1440	SPIT	0.98
199	to stand	1784	1442	STAND	1.00
200	the star	0005	1430	STAR	1.00
201	to steal	1686	713	STEAL	0.96
202	the stick	0586	1295	STICK	0.94
203	the stone (a piece of)	0043	857	STONE	1.00
204	straight	1003	1404	STRAIGHT	0.94
205	the sun	0002	1343	SUN	1.00
206	the tail	0267	1220	TAIL	1.00
207	ten	0806	1515	TEN	0.90
`*`208	that	0947	78	THAT	0.52
`*`209	there	0950	1937	THERE	0.52
210	thick	0980	1244	THICK	0.94
211	the thigh	0100	800	THIGH	0.90
212	thin (object)	0981	2307	THIN (OF HAIR AND LEAF)	0.94
213	to think (reflect)	1726	1415	THINK (REFLECT)	0.98
`*`214	this	0942	1214	THIS	0.53
215	thou [second person singular]	0931	1215	THOU	0.94
216	three	0799	492	THREE	0.98
217	to throw	1687	1456	THROW	0.98
218	the thunder	0008	1150	THUNDER	0.98
`*`219	the tiger	0304	846	TIGER	0.54
`*`220	today	0738	1283	TODAY	0.53
`*`221	tomorrow	0742	1329	TOMORROW	0.54
222	the tongue	0139	1205	TONGUE	1.00
223	the tooth (front)	0137	1380	TOOTH	1.00
224	the tree	0372	906	TREE	0.96
`*`225	twenty	0816	1710	TWENTY	0.38
226	two	0798	1498	TWO	0.98
227	to vomit	1535	1278	VOMIT	0.98
228	to walk	1815	1443	WALK	1.00
229	the water	0047	948	WATER	1.00
`*`230	we [first person plural inclusive]	0930	1131	WE (INCLUSIVE)	0.53
231	wet	1029	1726	WET	1.00
`*`232	what	0954	1236	WHAT	0.52
`*`233	the wheat	0410	1077	WHEAT	0.46
`*`234	where	0955	1237	WHERE	0.53
235	white	1006	1335	WHITE	1.00
236	who	0953	1235	WHO	1.00
`*`237	the wife	0248	1199	WIFE	0.53
238	the wind	0009	960	WIND	1.00
239	the wing	0298	1257	WING	0.92
240	to wipe	1163	1454	WIPE	0.96
`*`241	the wolf	0324	522	WOLF	0.42
242	the woman	0174	962	WOMAN	0.98
`*`243	the wood (material)	0511	1803	WOOD	0.50
`*`244	to sow (broadcast, scatter seeds)	1597	748	SOW SEEDS	0.32
245	the year	0777	1226	YEAR	0.98
246	yellow	1008	1424	YELLOW	0.96
`*`247	yesterday	0739	1174	YESTERDAY	0.54
`*`248	you [second person plural]	0933	1213	YOU	0.52
`*`249	young	1059	1207	YOUNG	0.46
250	the shit	0151	676	SHIT (DEFECATE)	0.92
