ID	DOCULECT	GLOSS_IN_SOURCE	CONCEPT	IPA	TOKENS	NOTE	BORROWING	CHINESE	COGID	RGEN	HANZI	SOURCE	ENTRY_IN_SOURCE
934	Limbu	bone	the bone	yɛt	j ɛ t			骨头	2		骨		yɛt
949	Japhug	bone	the bone	ɕɤrɯ	ɕ ɤ r ɯ			骨头	2		骨		ɕɤrɯ
953	Tangut	bone	the bone	rjɨr¹	r j ɨ r ¹			骨头	2		骨		rjɨr¹
973	Old_Tibetan		the branch	jal.ga	j a l + g a				10265				
1002	Japhug		the branch	tɤ-rtaʁ	t ɤ ◦ r t a ʁ				693				tɤ-rtaʁ
1026	Old_Tibetan	breasts	the breast (female)	nu.ma	n u m a			乳房	10186		乳		nu.ma
1039	Khaling	breasts	the breast (female)	nʉs	n ʉ s			乳房	10186		乳		nʉs
1040	Limbu	breasts	the breast (female)	nu	n u			乳房	10186		乳		nu
1055	Japhug	breasts	the breast (female)	tɯ-nɯ	t ɯ ◦ n ɯ			乳房	10186		乳		tɯ-nɯ
1059	Tangut	breasts	the breast (female)	ner²	n e r ²			乳房	10185		乳		ner²
1185	Old_Tibetan		to buy	ɲo	ɲ o				2122				
1214	Japhug		to buy	χtɯ	χ t ɯ				2333				χtɯ
1238	Old_Tibetan		to chew	ɴtɕʰa	ɴ tɕʰ a				2742				
1267	Japhug		to chew	nɤŋka	n ɤ ŋ k a				1534				nɤŋka
1450	Old_Tibetan	cloud	the cloud	sprin	s p r i n			云	915		雲		sprin
1463	Khaling	cloud	the cloud	kɵ̂m	k ɵ̂ m			云	89		雲		kɵ̂m
1464	Limbu	cloud	the cloud	khaʔmit	kʰ a ʔ m i t			云	89		雲		khaʔmit
1479	Japhug	cloud	the cloud	zdɯm	z d ɯ m			云	927		雲		zdɯm
1483	Tangut	cloud	the cloud	djɨ̣j²	d j ɨ̣ j ²			云	927		雲		djɨ̣j²
1503	Old_Tibetan	cold	cold (of temperature)	graŋ-	g r a ŋ ◦			冷	933		寒		graŋ-
1516	Khaling	cold	cold (of temperature)	tshʌkpɛ	tsʰ ʌ k p ɛ			冷	325		寒		tshʌkpɛ
1517	Limbu	cold	cold (of temperature)	ci:kt-	c i: k t ◦			冷	325		寒		ci:kt-
1532	Japhug	cold	cold (of temperature)	mɯɕtaʁ	m ɯ ɕ t a ʁ			冷	1002		寒		mɯɕtaʁ
1536	Tangut	cold	cold (of temperature)	dạ²	d ạ/a ²			冷	1002		寒		dạ²
1556	Old_Tibetan	come	to come	joŋ-	j o ŋ			来	2445		來		joŋ-
1569	Khaling	come	to come	pi-	p i ◦			来	759		來		pi-
1570	Limbu	come	to come	phɛn-	pʰ ɛ n ◦			来	759		來		phɛn-
1585	Japhug	come	to come	ɣi	ɣ i			来	759		來		ɣi
1589	Tangut	come	to come	ljịj²	l j ị j ²			来	10244		來		ljịj²
1662	Old_Tibetan		correct (right)	ŋo.ma	ŋ o + m a			对	5327				
1691	Japhug		correct (right)	ɣɤŋgi	ɣ ɤ ŋ g i			对	1465				ɣɤŋgi
1695	Tangut		correct (right)	ɴgrig				对	0				
1715	Old_Tibetan		to count	rtsi	r ts i			数	1019				
1744	Japhug		to count	rtsi	r ts i		tib[rtsi]	数	1019				%rtsi
1768	Old_Tibetan		to cry (weep)	ŋu	ŋ u				1127				
1797	Japhug		to cry (weep)	ɣɤwu	ɣ ɤ w u				1127				ɣɤwu
1927	Old_Tibetan	die	to die	ɕi-	ɕ i			死	163		死		ɕi-
1940	Khaling	die	to die	mit-	m i t +			死	2227		死		mit-
1941	Limbu	die	to die	si-	s i +			死	163		死		si-
1956	Japhug	die	to die	si	s i			死	163		死		si
1960	Tangut	die	to die	sji²	s j i ²			死	163		死		sji²
1980	Old_Tibetan		to dig	rko	r k o			挖	2548				
2009	Japhug		to dig	lɣa	l ɣ a			挖	3223				lɣa
2033	Old_Tibetan		dirty	btsog	b ts o g			脏	599				
2062	Japhug		dirty	ɴqʰi	ɴ qʰ i			脏	1104				ɴqhi
2086	Old_Tibetan	dog	the dog	kʰʲi	kʰʲ i			狗	2065		犬		kʰʲi
2099	Khaling	dog	the dog	khlêːp	kʰ l êː p			狗	656		犬		khlêːp
2100	Limbu	dog	the dog	kotco	k o t c o			狗	764		犬		kotco
2115	Japhug	dog	the dog	khɯna	kʰ ɯ n a			狗	2065		犬		khɯna
2119	Tangut	dog	the dog	khjwɨ¹	kʰ j w ɨ ¹			狗	2065		犬		khjwɨ¹
2139	Old_Tibetan		the dream	rmi.lam	r m i + l a m				10555				
2168	Japhug		the dream	tɯ-jmŋo	t ɯ ◦ j m ŋ o				10217				tɯ-jmŋo
2192	Old_Tibetan	drink	to drink	ɴtʰuŋ, btuŋs	ɴ tʰ u ŋ			喝	2228		飲		ɴtʰuŋ, btuŋs
2205	Khaling	drink	to drink	tuŋ-	t u ŋ ◦			喝	2228		飲		tuŋ-
2206	Limbu	drink	to drink	thuŋ-	tʰ u ŋ ◦			喝	2228		飲		thuŋ-
2221	Japhug	drink	to drink	tsʰi	tsʰ i			喝	2416		飲		tsʰi
2225	Tangut	drink	to drink	thji²	tʰ j i ²			喝	2416		飲		thji²
2245	Old_Tibetan	dry	dry	skam-	s k a m ◦			干	1092		乾		skam-
2258	Khaling	dry	dry	dhoŋ	dʰ o ŋ			干	875		乾		dhoŋ
2259	Limbu	dry	dry	kaŋ-	k a ŋ ◦			干	505		乾		kaŋ-
2274	Japhug	dry	dry	zbaʁ	z b a ʁ			干	1199		乾		rom
2278	Tangut	dry	dry	rowr¹	r o w r ¹			干	993		乾		rowr¹
2298	Old_Tibetan		the dust	rdul	r d u l			尘土	507				
2327	Japhug		the dust	rdɯl	r d ɯ l		tib[rdul]	尘土	507				rdɯl
2351	Old_Tibetan	ear	the ear	rna	r n a			耳朵	32		耳		rna
2364	Khaling	ear	the ear	ŋeʦo	ŋ e ʦ o			耳朵	32		耳		ŋeʦo
2365	Limbu	ear	the ear	nɛbhak	n ɛ bʰ a k			耳朵	32		耳		nɛbhak
2380	Japhug	ear	the ear	tɯ-rna	t ɯ ◦ r n a			耳朵	32		耳		tɯ-rna
2384	Tangut	ear	the ear	nju¹	n j u ¹			耳朵	32		耳		nju¹
2404	Old_Tibetan	earth	the earth (soil)	sa	s a			土地	373		土		sa
2417	Khaling	earth	the earth (soil)	pɵk	p ɵ k			土地	768		土		pɵk
2418	Limbu	earth	the earth (soil)	kham	kʰ a m			土地	769		土		kham
2433	Japhug	earth	the earth (soil)	tʰɤlwa	tʰ ɤ l w a		tib[thal.ba]	土地	1243		土		%tʰɤlwa
2437	Tangut	earth	the earth (soil)	dzjiw¹	d z j i w ¹			土地	10195		土		dzjiw¹
2457	Old_Tibetan	eat	to eat	za, zos	z a			吃	3419		食		za, zos
2470	Khaling	eat	to eat	ʣɵ-	ʣ ɵ ◦			吃	3419		食		ʣɵ-
2471	Limbu	eat	to eat	ca-	c a ◦			吃	3419		食		ca-
2486	Japhug	eat	to eat	ndza	ⁿdz a			吃	3419		食		ndza
2490	Tangut	eat	to eat	dzji¹	d z j i ¹			吃	3419		食		dzji¹
2510	Old_Tibetan	egg	the egg	sgo.ŋa	s g o  ŋ a			鸡蛋	850		卵		sgo.ŋa
2523	Khaling	egg	the egg	ti	t i			鸡蛋	3399		卵		ti
2524	Limbu	egg	the egg	thi:mma	tʰ iː m m a			鸡蛋	3399		卵		thi:mma
2539	Japhug	egg	the egg	tɤ-ŋgɯm	t ɤ ◦ ŋg ɯ m			鸡蛋	852		卵		tɤ-ŋgɯm
2543	Tangut	egg	the egg	tew¹	t e w ¹			鸡蛋	10196		卵		tew¹
2563	Old_Tibetan		eight	brgʲad	b r gʲ a d				183				
2592	Japhug		eight	kɯrcat	k ɯ r c a t				183				kɯrcat
2616	Old_Tibetan	eye	the eye	dmʲig	d mʲ i g			眼睛	4		目		dmʲig
2629	Khaling	eye	the eye	mʌs	m ʌ s			眼睛	4		目		mʌs
2630	Limbu	eye	the eye	mik	m i k			眼睛	4		目		mik
2645	Japhug	eye	the eye	tɯ-mɲaʁ	t ɯ ◦ m ɲ a ʁ			眼睛	4		目		tɯ-mɲaʁ
2649	Tangut	eye	the eye	mej¹	m e j ¹			眼睛	4		目		mej¹
2722	Old_Tibetan		far	tʰag.riŋ.po	tʰ a g + r i ŋ + p o			元	549				
2751	Japhug		far	arqʰi	a r qʰ i			元	973				arqhi
2828	Old_Tibetan		the father	a.pʰa	a pʰ a			父亲	107				
2857	Japhug		the father	tɤ-wa	t ɤ ◦ w a			父亲	107				tɤ-wa
2934	Old_Tibetan	feather	the feather	spu	s p u			羽毛	921		羽		spu
2947	Khaling	feather	the feather	phʌsʌlʌm	pʰ ʌ s ʌ l ʌ m			羽毛	659		羽		phʌsʌlʌm
2948	Limbu	feather	the feather	murik	m u r i k			羽毛	772		羽		murik
2963	Japhug	feather	the feather	tɤ-muj	t ɤ ◦ m u j			羽毛	1374		羽		tɤ-muj
3093	Old_Tibetan		to fight	ɴgʲed	ɴ g ʲ e d			打架	3208				
3122	Japhug		to fight	alɯlɤt	a l ɯ l ɤ t			打架	1456				alɯlɤt
3146	Old_Tibetan	fire	the fire	me	m e			火	1746		火		me
3159	Khaling	fire	the fire	mi	m i			火	1746		火		mi
3160	Limbu	fire	the fire	mi	m i			火	1746		火		mi
3175	Japhug	fire	the fire	smi	s m i			火	1746		火		smi
3179	Tangut	fire	the fire	məə¹	m əə ¹			火	1746		火		məə¹
3199	Old_Tibetan	fish	the fish	ɲa	ɲ a			鱼	186		魚		ɲa
3212	Khaling	fish	the fish	ŋɵ	ŋ ɵ			鱼	186		魚		ŋɵ
3213	Limbu	fish	the fish	ŋ a	ŋ a			鱼	186		魚		ŋ a
3228	Japhug	fish	the fish	qaɟy	q a ɟ y			鱼	804		魚		qaɟy
3232	Tangut	fish	the fish	ʑju²	ʑ j u ²			鱼	804		魚		ʑju²
3252	Old_Tibetan		five	lŋa	l ŋ a			五	10357				
3281	Japhug		five	kɯmŋu	k ɯ m ŋ u			五	10357				kɯmŋu
3305	Old_Tibetan		to float	ldiŋ	l d i ŋ			漂浮	2766				
3334	Japhug		to float	ndʑaʁ	ndʑ a ʁ			漂浮	2699				ndʑaʁ
3358	Old_Tibetan		to flow	rgʲu	r g ʲ u			流	1582				
3387	Japhug		to flow	jit	j i t			流	1603				jit
3411	Old_Tibetan		the flower	me.tog	m e + t o g			花	248				
3440	Japhug		the flower	mɯntoʁ	m ɯ n t o ʁ		tib[me.tog]	花	248				%mɯntoʁ
3464	Old_Tibetan	fly	to fly (move through air)	ɴpʰur-	ɴ pʰ u r ◦			飞	430		飛		ɴpʰur-
3477	Khaling	fly	to fly (move through air)	bher-	bʰ e r ◦			飞	10208		飛		bher-
3478	Limbu	fly	to fly (move through air)	pɛ:r-	p ɛ: r ◦			飞	10208		飛		pɛ:r-
3493	Japhug	fly	to fly (move through air)	nɯqambɯmbjom	n ɯ q a mb ɯ mb j o m			飞	10206		飛		nɯqambɯmbjom
3497	Tangut	fly	to fly (move through air)	dʑjwow¹	dʑ j w o w ¹			飞	10206		飛		dʑjwow¹
3517	Old_Tibetan		the fog	smug.pa	s m u g + p a			雾	99				
3546	Japhug		the fog	zdɯm	z d ɯ m			雾	668				zdɯm
3570	Old_Tibetan	foot	the foot	rkaŋ	r k a ŋ			脚	866		足		rkaŋ
3583	Khaling	foot	the foot	sɛ̂l	s ɛ̂ l			脚	1661		足		sɛ̂l
3584	Limbu	foot	the foot	laŋ	l a ŋ			脚	129		足		laŋ
3599	Japhug	foot	the foot	tɯ-mi	t ɯ ◦ m i			脚	701		足		tɯ-mi
3603	Tangut	foot	the foot	khjɨ¹	kʰ j ɨ ¹			脚	966		足		khjɨ¹
3623	Old_Tibetan		the forest	nags	n a g s			森林	840				
3652	Japhug		the forest	sɯŋgɯ	s ɯ ŋ g ɯ			森林	683				sɯŋgɯ
3676	Old_Tibetan		four	bʑi	b ʑ i			四	263				
3705	Japhug		four	kɯβde	k ɯ β d e			四	263				kɯβde
3782	Old_Tibetan		the fruit	ɕiŋ.tog	ɕ i ŋ + t o g			水果	817				
3811	Japhug		the fruit	sɯmat	s ɯ m a t			水果	4085				sɯmat
3835	Old_Tibetan	full	full	gaŋ	g a ŋ			满	1085		滿		gaŋ
3849	Limbu	full	full	tims-	t i m s ◦			满	1570		滿		tims-
3864	Japhug	full	full	mtsʰɤt	m tsʰ ɤ t			满	1357		滿		mtsʰɤt
3868	Tangut	full	full	sə¹	s ə ¹			满	1357		滿		sə¹
3888	Old_Tibetan	give	to give	sbʲin	s b ʲ i n			给	1913		畀		ster-
3901	Khaling	give	to give	bi-	b i ◦			给	1913		畀		bi-
3902	Limbu	give	to give	pi-	p i ◦			给	1913		畀		pi-
3917	Japhug	give	to give	mbi	m b i			给	1913		畀		mbi
3921	Tangut	give	to give	khjow¹	kʰ j o w ¹			给	2125		畀		khjow¹
3941	Old_Tibetan	good	good	bzaŋ	b z a ŋ			好	1680		好		jag-
3954	Khaling	good	good	nʉ-	n ʉ ◦			好	619		好		nʉ-
3955	Limbu	good	good	nu:r-	n u: r ◦			好	619		好		nu:r-
3970	Japhug	good	good	pe	p e			好	179		好		pe
3974	Tangut	good	good	ŋạ²	ŋ ạ/a ²			好	1682		好		ŋạ²
3994	Old_Tibetan		the grass	rtsʷ←a	r tsʷ ← w a	< *rtsu-ba. https://stan.hypotheses.org/60		草	959				
4023	Japhug		the grass	xɕaj	x ɕ a j			草	1361				xɕɤj
4047	Old_Tibetan	green	green	sŋo-	s ŋ o +			绿	1098		青		sŋo-
4060	Khaling	green	green	gigîm	g i g î m			绿	620		青		gigîm
4061	Limbu	green	green	phiŋ	pʰ i ŋ			绿	2870		青		phiŋ
4076	Japhug	green	green	arŋi	a r ŋ i			绿	1098		青		arŋi
4080	Tangut	green	green	ŋwər¹	ŋ w ə r ¹			绿	1098		青		ŋwər¹
4153	Old_Tibetan	hair	the hair (of the head)	s k r a	s k r a			头发	210		毛		spu
4166	Khaling	hair	the hair (of the head)	dhōːsʌm	dʰ ōː s ʌ m			头发	385		毛		dhōːsʌm
4167	Limbu	hair	the hair (of the head)	murik	m u r i k			头发	2014		毛		murik
4182	Japhug	hair	the hair (of the head)	tɤ-kɤrme	t ɤ k ɤ r m e			头发	2014		毛		tɤ-rme
4186	Tangut	hair	the hair (of the head)	mej²	m e j ²			头发	2014		毛		mej²
4206	Old_Tibetan	hand	the hand	lag.pa	l a g p a			手	229		手		lag.pa
4219	Khaling	hand	the hand	khʌ̄r	kʰ ʌ̄ r			手	1302		手		khʌ̄r
4220	Limbu	hand	the hand	huk	h u k			手	786		手		huk
4235	Japhug	hand	the hand	tɯ-jaʁ	t ɯ ◦ j a ʁ			手	229		手		tɯ-jaʁ
4239	Tangut	hand	the hand	lạ¹	l ạ/a ¹			手	229		手		lạ¹
4259	Old_Tibetan		he or she [third person singular]	kʰo	kʰ o			他	788				
4288	Japhug		he or she [third person singular]	ɯʑo	ɯ ʑ o			他	965				ɯʑo
4312	Old_Tibetan	head	the head	mgo	m g o			头	1426		首		mgo
4325	Khaling	head	the head	dhōŋ	dʰ ō ŋ			头	789		首		dhōŋ
4326	Limbu	head	the head	thɛgek	tʰ ɛ g e k			头	1847		首		thɛgek
4341	Japhug	head	the head	tɯ-ku	t ɯ ◦ k u			头	1426		首		tɯ-ku
4345	Tangut	head	the head	ɣu¹	ɣ u ¹			头	1426		首		ɣu¹
4365	Old_Tibetan	hear	to hear	tʰos-	tʰ o s +			听见	3029		聞		tʰos-
4378	Khaling	hear	to hear	ŋi-	ŋ i ◦			听见	1439		聞		ŋi-
4379	Limbu	hear	to hear	khɛps-	kʰ ɛ ps ◦			听见	3146		聞		khɛps-
4394	Japhug	hear	to hear	mtsʰɤm	m tsʰ ɤ m			听见	3152		聞		mtsʰɤm
4398	Tangut	hear	to hear	mji¹	m j i ¹			听见	3752		聞		mji¹
4418	Old_Tibetan	heart	the heart	sɲiŋ	s ɲ i ŋ			心脏	539		心		sɲiŋ
4431	Khaling	heart	the heart	ʦɵ̂ː	ʦ ɵ̂ː			心脏	669		心		ʦɵ̂ː
4432	Limbu	heart	the heart	luŋma	l u ŋ m a			心脏	1525		心		luŋma
4447	Japhug	heart	the heart	tɯ-sni	t ɯ ◦ s n i			心脏	539		心		tɯ-sni
4451	Tangut	heart	the heart	njiij¹	n j ii j ¹			心脏	539		心		njiij¹
4471	Old_Tibetan		heavy	ldʑid-	l dʑ i d			重	10379				
4500	Japhug		heavy	rʑi	r ʑ i			重	10379				rʑi
4524	Old_Tibetan		here	ɴdir	ɴ d i r			这里	5756				
4553	Japhug		here	kɯre	k ɯ r e			这里	1867				kɯre
4577	Old_Tibetan		to hide (conceal)	sbed sbas	s b a s				1935				
4606	Japhug		to hide (conceal)	sɤnbaʁ	s ɤ n b a ʁ				1950				sɤnbaʁ
4683	Old_Tibetan		to hold	bzuŋ	b z u ŋ			拿	1986				
4712	Japhug		to hold	ndo	n d o			拿	1998				ndo
4736	Old_Tibetan	horn	the horn (keratinized skin)	gru	g r u			角	312		角		gru
4749	Khaling	horn	the horn (keratinized skin)	ghrʌ̄ŋ	gʰ r ʌ̄ ŋ			角	29719		角		ghrʌ̄ŋ
4750	Limbu	horn	the horn (keratinized skin)	taŋ	t a ŋ +			角	29720		角		taŋ¹
4765	Japhug	horn	the horn (keratinized skin)	ta-ʁrɯ	t a ◦ ʁ r ɯ			角	312		角		ta-ʁrɯ
4769	Tangut	horn	the horn (keratinized skin)	khiwə¹	kʰ i w ə ¹			角	312		角		khiwə¹
4789	Old_Tibetan		the house	kʰʲim	kʰ j i m				209				
4818	Japhug		the house	kʰa	kʰ a				1523				kha
4895	Old_Tibetan		hundred	brgʲa	b r g ʲ a				185				
4924	Japhug		hundred	ɣurʑa	ɣ u r ʑ a				185				ɣurʑa
4948	Old_Tibetan		to hunt	rŋon	r ŋ o n			打猎	2309				
4977	Japhug		to hunt	ɣɤrʁaʁ	ɣ ɤ r ʁ a ʁ			打猎	1455				ɣɤrʁaʁ
5001	Old_Tibetan		the husband	kʰʲo.ga	kʰ ʲ o + g a			丈夫	5771				
5030	Japhug		the husband	tɤ-nmaʁ	t ɤ ◦ n m a ʁ			丈夫	1942				tɤ-nmaʁ
5054	Old_Tibetan	I	I [first person singular]	ŋa	ŋ a			我	327		吾		ŋa
5067	Khaling	I	I [first person singular]	ʔûŋ	ʔ u ŋ			我	29761		吾		ʔu^ŋ
5068	Limbu	I	I [first person singular]	iŋga	i ŋ g a			我	29722		吾		iŋga
5083	Japhug	I	I [first person singular]	aʑo	a ʑ o			我	327		吾		aʑo
5087	Tangut	I	I [first person singular]	ŋa²	ŋ a ²			我	327		吾		ŋa²
5107	Old_Tibetan		the ice	ɴkʰʲags.pa	ɴ kʰ ʲ a g s + p a			冰	818				
5136	Japhug		the ice	tɤ-jpɣom	t ɤ ◦ j p ɣ o m			冰	1169				tɤ-jpɣom
5213	Old_Tibetan	kill	to kill	gsodˌ bsad	g s o d			杀	3125		殺		gsot, bsad
5226	Khaling	kill	to kill	set-	s e t ◦			杀	3125		殺		sɛt-
5227	Limbu	kill	to kill	sɛt-	s ɛ t ◦			杀	3125		殺		sɛt-
5242	Japhug	kill	to kill	sat	s a t			杀	3125		殺		sat
5246	Tangut	kill	to kill	sja¹	s j a ¹			杀	3125		殺		sja¹
5266	Old_Tibetan	knee	the knee	spus.mu	s p u s m u			膝	22		膝		spus.mu
5279	Khaling	knee	the knee	tʌ̄mʦu	t ʌ̄ m ʦ u			膝	672		膝		tʌ̄mʦu
5280	Limbu	knee	the knee	thuŋbo	tʰ u ŋ b o			膝	672		膝		thuŋbo
5295	Japhug	knee	the knee	tɯ-χpɯm	t ɯ ◦ χ p ɯ m			膝	2039		膝		tɯ-χpɯm
5299	Tangut	knee	the knee	ŋwer²	ŋ w e r ²			膝	1193		膝		ŋwer²
5319	Old_Tibetan	know	to know (something)	ɕes-	ɕ e s ◦			知道	2279		知		ɕes-
5332	Khaling	know	to know (something)	tsikt-	ts i k t ◦			知道	2280		知		tsikt-
5333	Limbu	know	to know (something)	nis-	n i s ◦			知道	2281		知		nis-
5348	Japhug	know	to know (something)	sɯz	s ɯ z			知道	2279		知		sɯz
5352	Tangut	know	to know (something)	nwə¹	n w ə ¹			知道	435		知		nwə¹
5372	Old_Tibetan		the lake	mtsʰo	m tsʰ o			湖	387				
5401	Japhug		the lake	mtsʰu	m tsʰ u		tib[mtsʰo]	湖	387				%mtshu
5425	Old_Tibetan		to laugh	bgad	b g a d			笑	2301				
5454	Japhug		to laugh	nɤre	n ɤ r e			笑	438				nɤre
5478	Old_Tibetan	leaf	the leaf	lo.ma	l o m a			叶子	948		葉		lo.ma
5491	Khaling	leaf	the leaf	sāːphʌm	s āː pʰ ʌ m			叶子	1402		葉		sāːphʌm
5492	Limbu	leaf	the leaf	tɛtla	t ɛ t l a			叶子	2318		葉		tɛtla
5507	Japhug	leaf	the leaf	tɤ-jwaʁ	t ɤ ◦ j w a ʁ			叶子	881		葉		tɤ-jwaʁ
5511	Tangut	leaf	the leaf	bạ²	b ạ/a ²			叶子	881		葉		bạ²
5531	Old_Tibetan		left	gjon	g j o n			左边	200				
5560	Japhug		left	ʁe	ʁ e			左边	422				ʁe
5637	Old_Tibetan		to lie down	ɲal	ɲ a l				2353				
5666	Japhug		to lie down	rŋgɯ	r ŋ g ɯ				2363				rŋgɯ
5796	Old_Tibetan	liver	the liver	mtɕʰin.pa	m tɕʰ i n p a			肝	2076		肝		mtɕʰin.pa
5809	Khaling	liver	the liver	lūm	l ū m			肝	52		肝		lūm
5810	Limbu	liver	the liver	luŋma	l u ŋ m a			肝	52		肝		luŋma
5825	Japhug	liver	the liver	tɯ-mtsʰi	t ɯ ◦ m tsʰ i			肝	2076		肝		tɯ-mtsʰi
5829	Tangut	liver	the liver	sji¹	s j i ¹			肝	2076		肝		sji¹
5849	Old_Tibetan	long	long	riŋ-	r i ŋ ◦			长	547		長		riŋ-
5862	Khaling	long	long	sōŋpɛ	s ō ŋ p ɛ			长	2418		長		sōŋpɛ
5863	Limbu	long	long	kent-	k e n t ◦			长	2419		長		kent-
5878	Japhug	long	long	zri	z r i			长	547		長		zri
5882	Tangut	long	long	zjir²	z j i r ²			长	547		長		zjir²
5902	Old_Tibetan	louse	the louse	ɕig	ɕ i g			虱子	2077		蝨		ɕig
5915	Khaling	louse	the louse	sēr	s ē r			虱子	807		蝨		sēr
5916	Limbu	louse	the louse	siʔ	s i ʔ			虱子	2077		蝨		siʔ
5931	Japhug	louse	the louse	zrɯɣ	z r ɯ ɣ			虱子	2077		蝨		zrɯɣ
5935	Tangut	louse	the louse	ɕjiw²	ɕ j i w ²			虱子	2077		蝨		ɕjiw²
6021	Khaling	man	the man (male human)	lɛsbɛ	l ɛ s b ɛ			男人	1282		男		lɛsbɛ
6022	Limbu	man	the man (male human)	yɛmbitcha	j ɛ m b i tcʰ a			男人	2454		男		yɛmbitcha
6037	Japhug	man	the man (male human)	tɤ-tɕɯ	t ɤ ◦ tɕ ɯ			男人	2459		男		tɤ-tɕɯ
6041	Tangut	man	the man (male human)	goor¹	g oo r ¹			男人	1210		男		goor¹
6061	Old_Tibetan	many	many	maŋ-	m a ŋ +			多	1663		多		maŋ-
6074	Khaling	many	many	ghole	gh o l e			多	2464		多		ghoɔle
6075	Limbu	many	many	sidɔt	s i d ɔ t			多	2465		多		sidɔt
6090	Japhug	many	many	xcat	x c a t			多	979		多		xcat
6114	Old_Tibetan	flesh	the meat	ɕa	ɕ a			肉	10227		肌		ɕa
6127	Khaling	flesh	the meat	sɵ̂ː	s ɵ̂ː			肉	10227		肌		sɵ̂ː
6128	Limbu	flesh	the meat	sa	s a			肉	10227		肌		sa
